go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0009435,NAD+ biosynthetic process,12,1110,26,262673,109.21954261954261,2.795483025659148e-22,3.517649473954428e-21,UniProt UniPathway
GO:0006021,inositol biosynthetic process,3,1110,7,262673,101.41814671814672,2.6008968200022606e-06,6.136490934692834e-06,UniProt UniPathway
GO:0006559,L-phenylalanine catabolic process,6,1110,14,262673,101.41814671814672,1.6391197105666036e-11,7.734596134236161e-11,UniProt UniPathway
GO:0016925,protein sumoylation,17,1110,41,262673,98.11999560536145,5.330777054779631e-30,1.1499247646738918e-28,UniProt UniPathway
GO:0006665,sphingolipid metabolic process,30,1110,75,262673,94.65693693693694,2.6389798286364986e-51,1.9924297706205563e-49,UniProt UniPathway
GO:0032264,IMP salvage,4,1110,10,262673,94.65693693693693,6.527097212479767e-08,1.8953686136239326e-07,UniProt UniPathway
GO:0006601,creatine biosynthetic process,2,1110,5,262673,94.65693693693693,0.00017691210401770899,0.00026983563340074804,UniProt UniPathway
GO:0006682,galactosylceramide biosynthetic process,2,1110,5,262673,94.65693693693693,0.00017691210401770899,0.00026983563340074804,UniProt UniPathway
GO:0006054,N-acetylneuraminate metabolic process,2,1110,5,262673,94.65693693693693,0.00017691210401770899,0.00026983563340074804,UniProt UniPathway
GO:0030213,hyaluronan biosynthetic process,3,1110,8,262673,88.74087837837837,4.148292380320424e-06,9.349136558632596e-06,UniProt UniPathway
GO:0006574,L-valine catabolic process,3,1110,8,262673,88.74087837837837,4.148292380320424e-06,9.349136558632596e-06,UniProt UniPathway
GO:0006189,'de novo' IMP biosynthetic process,6,1110,16,262673,88.74087837837837,4.3395680007825304e-11,1.9272787297593002e-10,UniProt UniPathway
GO:0006636,unsaturated fatty acid biosynthetic process,7,1110,19,262673,87.18402086296824,1.1384233662652902e-12,6.611612627156109e-12,UniProt UniPathway
GO:0035999,tetrahydrofolate interconversion,7,1110,19,262673,87.18402086296824,1.1384233662652902e-12,6.611612627156109e-12,UniProt UniPathway
GO:0033540,fatty acid beta-oxidation using acyl-CoA oxidase,4,1110,11,262673,86.05176085176086,1.0222345402529752e-07,2.858470658855542e-07,UniProt UniPathway
GO:0045329,carnitine biosynthetic process,3,1110,9,262673,78.88078078078078,6.202791142126431e-06,1.3773845036192515e-05,UniProt UniPathway
GO:0009298,GDP-mannose biosynthetic process,4,1110,12,262673,78.88078078078078,1.5281917063640354e-07,3.9785680631201607e-07,UniProt UniPathway
GO:0019432,triglyceride biosynthetic process,4,1110,12,262673,78.88078078078078,1.5281917063640354e-07,3.9785680631201607e-07,UniProt UniPathway
GO:0019344,cysteine biosynthetic process,2,1110,6,262673,78.88078078078078,0.00026462268783694853,0.00038421178714787723,UniProt UniPathway
GO:0006659,phosphatidylserine biosynthetic process,2,1110,6,262673,78.88078078078078,0.00026462268783694853,0.00038421178714787723,UniProt UniPathway
GO:0000103,sulfate assimilation,2,1110,6,262673,78.88078078078078,0.00026462268783694853,0.00038421178714787723,UniProt UniPathway
